year,round,win1,win2,win3,win4,win5,win6,bonus,sum
2004,74,6,15,17,18,35,40,23,131
2004,73,3,12,18,32,40,43,38,148
2004,72,2,4,11,17,26,27,1,87
2004,71,5,9,12,16,29,41,21,112
2004,70,5,19,22,25,28,43,26,142
2004,69,5,8,14,15,19,39,35,100
2004,68,10,12,15,16,26,39,38,118
2004,67,3,7,10,15,36,38,33,109
2004,66,2,3,7,17,22,24,45,75
2004,65,4,25,33,36,40,43,39,181
2004,64,14,15,18,21,26,36,39,130
2004,63,3,20,23,36,38,40,5,160
2004,62,3,8,15,27,29,35,21,117
2004,61,14,15,19,30,38,43,8,159
2004,60,2,8,25,36,39,42,11,152
2004,59,6,29,36,39,41,45,13,196
2004,58,10,24,25,33,40,44,1,176
2004,57,7,10,16,25,29,44,6,131
2003,56,10,14,30,31,33,37,19,155
2003,55,17,21,31,37,40,44,7,190
2003,54,1,8,21,27,36,39,37,132
2003,53,7,8,14,32,33,39,42,133
2003,52,2,4,15,16,20,29,1,86
2003,51,2,3,11,16,26,44,35,102
2003,50,2,10,12,15,22,44,1,105
2003,49,4,7,16,19,33,40,30,119
2003,48,6,10,18,26,37,38,3,135
2003,47,14,17,26,31,36,45,27,169
2003,46,8,13,15,23,31,38,39,128
2003,45,1,10,20,27,33,35,17,126
2003,44,3,11,21,30,38,45,39,148
2003,43,6,31,35,38,39,44,1,193
2003,42,17,18,19,21,23,32,1,130
2003,41,13,20,23,35,38,43,34,172
2003,40,7,13,18,19,25,26,6,108
2003,39,6,7,13,15,21,43,8,105
2003,38,16,17,22,30,37,43,36,165
2003,37,7,27,30,33,35,37,42,169
2003,36,1,10,23,26,28,40,31,128
2003,35,2,3,11,26,37,43,39,122
2003,34,9,26,35,37,40,42,2,189
2003,33,4,7,32,33,40,41,9,157
2003,32,6,14,19,25,34,44,11,142
2003,31,7,9,18,23,28,35,32,120
2003,30,8,17,20,35,36,44,4,160
2003,29,1,5,13,34,39,40,11,132
2003,28,9,18,23,25,35,37,1,147
2003,27,1,20,26,28,37,43,27,155
2003,26,4,5,7,18,20,25,31,79
2003,25,2,4,21,26,43,44,16,140
2003,24,7,8,27,29,36,43,6,150
2003,23,5,13,17,18,33,42,44,128
2003,22,4,5,6,8,17,39,25,79
2003,21,6,12,17,18,31,32,21,116
